,ID1,ID2,response,text
0,264183816548130816,15140428,positive,ga hous hit go chapel hill sat
3,264249301910310912,18516728,negative,iranian gener say israel iron dome deal missil keep talk like may end find
6,264105751826538497,147088367,positive,j davlar th main rival team poland hope make success end tough week train tomorrow
7,264094586689953794,332474633,negative,talk act amp amp sat decid want go colleg appli colleg everyth colleg stress
9,254941790757601280,557103111,negative,may superbowl dalla dalla win superbowl quarterback owner nyc rasmussenpol
10,264169034155696130,382403760,neutral,im bring monster load candi tomorrow hope get squich
11,263192091700654080,344222239,neutral,appl softwar retail chief overhaul san francisco appl inc ceo tim cook monday replac head http co x zeosg
12,263398998675693568,812957996,positive,oluoch victor otti kunjand watch sridevi comeback u rememb sun morn nta
14,260200142420992000,332530284,neutral,livewir nadal confirm mexican open februari rafael nadal set play http co zguxpcnc livewireathlet
15,264087629237202944,61903760,positive,msshelahi didnt want pop yep chapel hill next wednesday come she great ill tell ask
16,250692636330049538,29023839,neutral,alyoup addict haley hmmmm novemb odd releas date true becom big enough mayb could sing grammi
17,263304719471087617,564843841,neutral,iran us delist mko global terrorist list line iran campaign tehran oct irna secretari http co wwvxebf
20,263956867787673600,183985016,positive,good morn becki thursday go fantast swedeng dj jg grdina paverlay fsbull revkahjc dickstrash borderfox
21,263975113404342273,616166780,neutral,expect light moder rain e visaya cebu bohol samar amp leyt chanc rain tonight expect fair weather tomorrow
22,257343699460173824,10115042,positive,one ticket left er game tomorrow miss rematch nfc championship game ny giant hit
23,264125591337463808,348691527,negative,afc away fan saturday stuff said chant bollock ball turn back
25,264259830590603264,183011479,negative,hard find tvguidemagazin day went store castl cover issu none search tomorrow
26,257239661976625152,64642600,neutral,game nlc rematch nfc championship game tomorrow sf gonna cuuuuhraaaaaaaazeeee
28,264223934403211264,117204603,neutral,trevorjavi heat game may cost alot plu would rather see austin river play
29,264041764460036096,198706982,positive,never start work dream goal tomorrow tomorrow never come mean anyth u act getafterit
30,264102295392882689,43577828,positive,theffaddict vick flacco need upgrad vick may get bench jen back soon thought win
32,264071572925603841,43167117,positive,look like andi android may littl much fun yesterday http co zdefzec
33,262115068320284672,306647135,positive,apgphoto oooh nice ti tempt go lake nikon hmmmm may
