,ID1,response,text
0,193201249095651328,negative,grillo fa paura gent urla gi visti almeno paio finita com finita nient urla me grazi
1,139741158778748928,negative,domattina forza nuova far banchetto piazza faenza dimostrar governo monti no governo banchieri
2,193641338066059265,neutral,stadio canta grillo
3,143731095144370177,neutral,leo volevasi dimostrar cattolicissimo governo golpista mario monti tacito consenso http t co ldvd pvc
5,164411239458549760,neutral,obama rispond diretta youtub obamahangout invec governo monti dialogo cittadini via mail http t co dcwce xb
7,151960285350076416,neutral,crosetto monti trovi soluzioni reali governo guido crosetto mario monti roma occorr permetter que http t co ibxlgrf
8,393149534203019264,positive,paolacorb alessandropaul lucianaco no paol mo chiudemo bottega pure dolc nott paol
9,391971463525179392,positive,manicur
11,136159169282707456,positive,monti politica trasformi crisi opportunit crisi governo mario monti roma impegno rivo http t co pxbvkbrd
12,193015379386302464,negative,david invenzion berlusconi pdl classico zero corrotti uniranno dopo elezioni
13,196176185506529280,neutral,mugello apr port formula http t co auufx hu
14,156716957545144321,neutral,vera storia mario monti http t co phqitzwj spottv laverastoriadimariomonti
15,148731437548449792,neutral,governo monti fatto chiedeva europa http t co m hl g
16,137025287731949568,neutral,governo monti prime prove oggi premier senato fiducia http t co hugkxwtn
17,189053974194827264,positive,andreaiannon indiavolato bravo peccato rettilineo meglio co potevi fare motomondial
18,193687139949608964,neutral,fattoquotidiano grillo teatrino politica piac http t co kzwixkcm cc marcosinigaglia
24,195532089830014976,neutral,guai confonder grillo m s fatto quotidiano http t co ndhbz ee via fattoquotidiano
25,391810945116164096,negative,yamaha buona solo alzar polemich honda crearn
26,165188939764871171,negative,postofisso stato primo error comunicazion commesso mario monti
27,160366918337961984,neutral,liberalizzazioni tre articoli mirati conceder possibilit trivellar ga petrolio governo monti piacciono buchi
28,146921644399669249,neutral,casa condominio manovra salva italia governo monti mart dicembr http t co jxrvbsti
29,143409706612961280,positive,bravo mario monti finalment fa veder deve governar
30,194742096656220160,neutral,grillo vinc destinato crescer perch conosc gent esattament fatto lega
31,145469116873056257,neutral,domani sera palazzo chigi incontro informal mario monti parti sociali leader cgil cisl uil ug http t co tiogh aw
32,393423013032763392,negative,perch gent co rincoglionita sar colpa smog
34,145437947381022720,neutral,manovra meno tagli casa pensioni adesso monti apr modifich mario monti chiud porta poc http t co poodvv b
36,391760854318067712,neutral,raid fondo rustico ciro corona mobilitino citt istituzioni viaggio mehari http t co hizt jlgbt
37,146370619523608576,negative,ballo musica art sport arredo manovra finanziaria governo monti http t co tgwzfzbb
38,393255813223313408,negative,lelevup carit sfuggono molt sfumatur lettura giornali
39,393255813386862592,neutral,buongiorno oncaci
40,160103675598077953,negative,cosa intendo fare poveri bisognosi beata minchia cetto qualunqu no mario monti
41,395509393695178752,negative,poeti costruiscono tweet paura paura amar paura restar aggiunget pure paura ve
42,193316527334891520,negative,alfano dopo amministr arriv pi grand novit politica italiana ah ve andat sparit sempr
43,395475457959010304,neutral,mamma domani torno clima roma fa co caldo mah autunnello primaveretta caldino caldinomia madr ned flander
44,135711301749059584,negative,corsera caroselli fischi piazza guastato umor b induriscono condizioni dire s governo monti
45,193259823662497792,negative,partito nazion ideona partiti disinnescar grillo continuar prender culo italiani adesso salvi
47,137115223457923072,neutral,caterpillaram ultima chanc president napolitano governo monti dovess farcela vedi foto http t co tnakx
48,393435658003701760,positive,njallsfirstlov cazzo devo fare posso fare
49,395583013037568000,negative,morto giornalista francorossi anni stato numero calciomercato rip
50,157057491744718848,negative,sappiat domani baratteranno arresto cosentino governo monti scommettiamo
52,190785654278459393,negative,pensa fine casino vien fuori borghezio unico onesto
55,193952343597912064,neutral,emma marron amici dopo polemich belen stefano http t co pij vrak blogplay com
56,136822214174580736,negative,letto lista ministri governo monti parecchi sembrano inadatti ministero stato dato
57,395330603207258112,negative,ariannacapulli pure mariti mettono flirtar whatsapp rimorchi tw
58,192353451571806209,negative,vitoballarino rispetto important pur presenza diversi modi pensar grillo nessuno
59,134760365971079168,negative,governo monti pd occasion diventar finalment pd http t co dcdbc bn ottimo smenichini
60,136402422942793728,neutral,mario monti arrivano richiest incontri po unici fatti ancora vivi zapatisti
61,191502001966813185,positive,loveisfragil fatto caso nuovo nome akldl inutil dire piac morir
62,136859728998432769,neutral,governo monti esecutivo tecnici fronteggiar crisi ecco nuovi ministri http t co mmmtcr
63,193641338066059265,neutral,stadio canta grillo
64,396654709660188672,positive,groargirl haha grandissima sempr vincita uu
65,393460492213448704,negative,dopo due ore studiando italiano accorta preso libro sbagliato benecosi
66,137246092688498688,negative,governo monti sospension democrazia aborto berlusconi
67,396675741020323840,positive,quando arriva valerio aspettando forza pattyscanuverissimo
68,393417730134925312,positive,pubblicizza http t co mzt wh mnk
69,190375525611610112,positive,startup italian forza momento http t co ogdqymn
70,151285958149537792,negative,passaparola cipol amar governo monti bepp scienza http t co jtrfcqm
71,161793048802623488,neutral,ultim ora sciopero general governo monti indetto gennaio ecco programma dettagliato http t co ojq hbch
73,194524407903952899,positive,luciozogno cosa tratta vede bene bella foto twitteliali
75,137174783904329728,positive,mario monti presentato programma aspettavamo rigor crescita sviluppo economico social
76,192259207360286721,neutral,puo esser d accordo grillo fatto popolo italiano difficolta class dirigent gross
77,160415148111183873,negative,bepp grillo critico governo monti http t co u mni vedo ora sceglier primo fucil grrrr
78,396696617069592578,negative,bisogno qualcuno dica important http t co xbnpg drfq
79,164289036247236608,neutral,parlando politica governo monti cosa servono partiti
80,193079456452198400,negative,serviziopubblico antipolitica populismo grillo figli cattiva politica partiti meravigliamoci
81,396603382296625153,positive,test
82,136792177639571456,negative,perch rovinar decent governo monti almeno nomi corrado passera parlo personaggio speriamo bene
83,193089364752990208,negative,rencap grillo mandato dio confermar co limpidament pulsioni messianich troppo facil co darvi setta
84,136784937499111424,positive,nato governo monti speriamo buono
85,152328894274473984,negative,iniquit governo monti continuano http t co gg x clicca link
86,189463594998571008,neutral,monica z possibilit remota vederci
87,136894083212918784,negative,governo monti divino otelma ministro economia
88,141581795744415744,neutral,crisi governo monti pensa manovra miliardi euro http t co mdrsxrg
89,141270852313427968,positive,skytg basta tragedi bisogno positivit forza governo monti pensiero crea
91,134703758587346944,negative,governo monti entrano ministri governo berlusconi fa avvicinarsi rovinato paes pu
92,153853382115856384,neutral,governo monti anno nuovo comunicazion nuova lavoro faq rispost dirett cittadini finalment profilo twitter ufficial
93,187286044436209664,positive,chiupetta siiii ahhahahha tempo fatto bhe nient male d
94,137205212879400960,neutral,governo monti ministri archivio radio radical lorenzo ornaghi ministro cultura http t co lllouahn
95,195194227750215681,negative,mangiato coniglio cioccolata maldipancia
97,189836067027959808,negative,martina genio lampada idea magnifica rimaner alzati fino tardi sapendo domani esam deprimerti poi off
98,137159833651658752,negative,vladimiro giacch governo monti soluzion serv vera svolta politica economica vladimiro http t co zmgm bvv
99,161905206416769024,positive,governo monti fino ora avr proprio spaccato veder feltri giannini flirtano prezzo
100,190063144004100097,negative,vitobrandi ora lascio giornata ufficio inizia bella riunion dopo buona giornata
101,193226541474385920,negative,davvero tant tropp similitudini m s grillo pdl forza italia berlusconi
102,152491719416483844,negative,sallusti scandaloso attacca governo monti perch paga imprenditori suicidano capo pagati anni
103,193058120698826753,negative,agostinisv bossi vittima italia deve andar default lasciar euro grillo ormai sbracato
104,134337700579909632,positive,far governo monti senza estrem giorgio napolitano avr fornito straordinario saggio sapienza sagacia politica
105,142594108970647552,neutral,mario monti elsa fornero corrado passera ospiti martedi porta porta
106,134613359151693826,negative,gelmini brunetta sacconi rotondi ex an uscirebbero pdl caso governo monti solito culo b libererebb finalment
107,135425471784562688,positive,no governo monti elezioni subito sovranita popolar primato politica ingerenz http t co nuliu
109,395609384614903808,negative,perch applicazion facebook iphon trema
110,393307864296857600,negative,nessun politico italiano mai andato europa fare interessi http t co rgpj bsbh rinaldi euro m s
111,164857283132669952,positive,letta prova amor ancillar verso caro amico mario monti matrix imbarazzant
112,186456048608088065,neutral,bologna palermo ko aguirregaray rocca http t co gfbiji y palermo rosanero
113,195420043461394433,positive,perch napolitano cogli messaggio positivo grillo partecipazion cittadini vita democratica invec delegittima
114,158228453974482945,negative,rischio governo monti concordia va fondo giglio
115,396583380865019904,positive,jawisoath vabb salto sopra uu
116,162223411530170368,positive,solidal pescatori manifestano situazion lavorativa governo monti ordini precisi http t co wpxqw
117,187261184607666176,positive,madman tifa italia cazzo bravo
118,136888915788431360,negative,bersani leader de formazion governo monti vede pd ancora sotto scacco sel idv
119,393468290112442368,negative,pottervato demi direbb mashup jona one direct uscito male xf vero ahahaha crepo ahahahahha
120,138391526689607680,neutral,http t co gi vbvad sar bene sar mario monti teoriedelcomplotto lol
121,145565273120972801,neutral,lettera mario monti http t co k smsb
122,395448243070701568,positive,voto grazi milleeee http t co hzmdgssxi
123,195528465678737408,positive,quando vedo grillo vien pensar nuovo garibaldino qui fa italia muor
125,193763792889446400,neutral,ferdinandoc perch unit mentalment altr spuntat qua
127,196640861155635200,positive,colvieux amato carver stupefatta pu fare confronto cantant
128,163987687160815616,negative,sindacati http t co mgsqjzgv de lieto manifestazioni governo monti paes ginocchio http t co ntc u ls
130,395678216259502081,positive,zziagenio miaceran liac delusioni capitano arrenderti
132,192566080894541825,negative,zoticon grillo consensi grazi class politica zoticoni imparato nulla
133,136040029683322882,negative,mario monti nativo digital riccardowir hbw
134,391997183710732288,positive,giro scorpion grazi
136,189627611444543488,negative,fine erezion mattutina posso alzarmi lamentarmi perch nessuno ancora portato caff letto
137,137594887083266048,positive,gasparri s governo monti senso responsabilita http t co ofjwdlcl
138,393389091561439232,neutral,gambero rosso ben tre bicchieri vino http t co vrbmgxqfji
139,193309284216487937,negative,verament grillo detto soluzion crisi uscir euro allora genio economia ah no minchion
140,396617425623732224,neutral,francesco de sancti scriss quasi libri pi giovan toccava cinquant anni http t co lera u iv
141,142662630774022145,negative,mario monti spiegher riform prima porta porta poi parlamento http t co xyau k z
144,195564042008539138,negative,grillo budrio ancora parola governar budrio show nient concretezza deludemt
145,195133488062672896,negative,berserknina italiadeidolori nulla pi sinistro grillo alternativa politici possono dormir tranquilli w italia
148,163268273457205248,neutral,professor monti notizi quei miliardi euro
149,135430946253049856,negative,rimontiamo governo monti fatto soli tecnici amato esteri co torna settevitecomeigatti
150,396561575697735680,neutral,trovata perch caso iniziato legger manga tratto
